CargoCategory,TempDeviation,DurationMins,ActualTemp,ThermalShock_Rate,ResultLabel
FROZEN_FRUITS,13.61,596.4,-4.39,0.02282,Nhun_nat_Chay_dich
ICE_CREAM_JUICE,20.28,126.8,0.28,0.15994,Hong_Hoan_Toan
FROZEN_MEAT_SEAFOOD,16.5,2147.0,-1.5,0.00769,Ra_dong_Chay_dich
ICE_CREAM_JUICE,22.05,148.1,2.05,0.14889,Hong_Hoan_Toan
ICE_CREAM_JUICE,19.04,150.8,-0.96,0.12626,Hong_Hoan_Toan
FROZEN_FRUITS,15.66,706.4,-2.34,0.02217,Nhun_nat_Chay_dich
FROZEN_MEAT_SEAFOOD,0.7,52.2,-17.3,0.01341,An_toan_trong_ngan_han
FROZEN_FRUITS,0.95,222.6,-17.05,0.00427,An_toan_trong_ngan_han
FROZEN_FRUITS,17.73,640.4,-0.27,0.02769,Nhun_nat_Chay_dich
FROZEN_MEAT_SEAFOOD,0.72,275.7,-17.28,0.00261,An_toan_trong_ngan_han
ICE_CREAM_JUICE,1.89,50.3,-18.11,0.03757,An_toan_trong_ngan_han
FROZEN_FRUITS,29.87,2164.8,11.87,0.0138,Mat_mau_Oxy_hoa
FROZEN_FRUITS,1.24,255.5,-16.76,0.00485,An_toan_trong_ngan_han
FROZEN_FRUITS,5.72,4664.8,-12.28,0.00123,Tai_ket_tinh_Giam_do_ngot
ICE_CREAM_JUICE,14.89,286.3,-5.11,0.05201,Tach_pha_Chay_nuoc
FROZEN_FRUITS,9.18,4135.0,-8.82,0.00222,Tai_ket_tinh_Giam_do_ngot
FROZEN_MEAT_SEAFOOD,1.62,327.0,-16.38,0.00495,An_toan_trong_ngan_han
FROZEN_PHARMA_MATERIALS,31.12,257.5,16.12,0.12085,Hong_Huy_Sinh_Hoc
FROZEN_FRUITS,22.2,2089.6,4.2,0.01062,Mat_mau_Oxy_hoa
FROZEN_PHARMA_MATERIALS,6.59,1578.6,-8.41,0.00417,Giam_Hoat_Tinh_Nhe
FROZEN_PHARMA_MATERIALS,22.93,343.9,7.93,0.06668,Hong_Huy_Sinh_Hoc
FROZEN_MEAT_SEAFOOD,24.52,624.8,6.52,0.03924,Phan_huy_Nhiem_khuan
ICE_CREAM_JUICE,27.99,302.3,7.99,0.09259,Hong_Hoan_Toan
FROZEN_PHARMA_MATERIALS,32.86,295.3,17.86,0.11128,Hong_Huy_Sinh_Hoc
ICE_CREAM_JUICE,28.69,151.1,8.69,0.18987,Hong_Hoan_Toan
FROZEN_PHARMA_MATERIALS,34.96,158.5,19.96,0.22057,Hong_Huy_Sinh_Hoc
FROZEN_MEAT_SEAFOOD,32.78,723.7,14.78,0.0453,Phan_huy_Nhiem_khuan
